City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Tasiilaq,GL,65.6145,-37.6368,35.76,96,100,2.19,overcast clouds
79,Iqaluit,CA,63.7506,-68.5145,33.53,69,75,19.57,broken clouds
80,Oussouye,SN,12.485,-16.5469,86.85,67,82,6.8,moderate rain
81,Pinega,RU,64.7001,43.3936,36.79,67,0,5.61,clear sky
82,Yellowknife,CA,62.456,-114.3525,46.92,76,75,10.36,broken clouds
83,Dikson,RU,73.5069,80.5464,35.19,77,100,14.67,overcast clouds
84,Kasongo-Lunda,CD,-6.4667,16.8167,84.47,55,77,5.68,light rain
85,Bambous Virieux,MU,-20.3428,57.7575,71.85,64,40,12.66,scattered clouds
86,Zarand,IR,30.8127,56.564,74.84,10,0,8.88,clear sky
87,Santa Cecilia,BR,-26.9608,-50.4269,50.29,95,100,5.08,overcast clouds
88,Avarua,CK,-21.2078,-159.775,73.45,94,75,2.3,broken clouds
89,Khatanga,RU,71.9667,102.5,23.77,96,100,11.12,light snow
90,Hasaki,JP,35.7333,140.8333,68.4,64,80,9.89,broken clouds
91,Brookings,US,44.3114,-96.7984,48.38,28,4,10.2,clear sky
92,Busselton,AU,-33.65,115.3333,59.68,85,95,13.24,overcast clouds
93,Luwuk,ID,-0.9516,122.7875,77.95,91,73,1.81,broken clouds
94,Xining,CN,36.6167,101.7667,54.54,49,0,0.72,clear sky
95,Svetlogorsk,BY,52.6333,29.7333,52.57,94,100,5.14,overcast clouds
96,Faanui,PF,-16.4833,-151.75,78.04,74,6,12.46,clear sky
97,Mar Del Plata,AR,-38.0023,-57.5575,59.02,43,0,5.75,clear sky
98,Biak,ID,-0.9131,122.8766,76.73,88,63,2.51,broken clouds
99,Floro,NO,61.5996,5.0328,64.47,51,75,9.22,broken clouds
100,Adrar,MR,20.5022,-10.0711,105.67,12,51,13.22,broken clouds
101,Yanam,IN,16.7333,82.2167,79.5,83,88,1.83,overcast clouds
102,Bahia De Caraquez,EC,-0.6,-80.4167,71.78,75,100,6.4,overcast clouds
103,Tuy Hoa,VN,13.0833,109.3,76.8,85,100,4.81,overcast clouds
104,Ketchikan,US,55.3422,-131.6461,55.87,100,75,0.0,mist
105,Paldiski,EE,59.3567,24.0531,57.2,54,20,9.22,few clouds
106,Dingle,PH,10.9995,122.6711,75.92,90,100,1.63,overcast clouds
107,Shelby,US,35.2001,-89.8668,67.78,57,0,4.61,clear sky
108,Kjopsvik,NO,68.097,16.3742,53.47,68,19,4.56,few clouds
109,Norman Wells,CA,65.282,-126.8329,30.24,86,20,13.8,few clouds
110,Troitskoye,RU,52.9821,84.6757,35.53,86,100,8.63,overcast clouds
111,Fortuna,US,40.5982,-124.1573,58.35,91,68,3.06,broken clouds
112,Mandali,IQ,33.7499,45.5541,90.27,11,0,10.74,clear sky
113,Qaanaaq,GL,77.484,-69.3632,27.05,92,100,8.99,light snow
114,Polonnaruwa,LK,7.9333,81.0,81.0,65,93,12.03,light rain
115,Esperance,AU,-33.8667,121.9,54.45,82,99,16.31,overcast clouds
116,Crib Point,AU,-38.35,145.2,53.89,80,43,9.55,scattered clouds
117,Port Hedland,AU,-20.3167,118.5667,69.85,73,2,4.61,clear sky
118,Kholmogory,RU,64.2229,41.656,40.03,66,5,6.67,clear sky
119,Padre Bernardo,BR,-15.35,-48.5,94.78,20,36,4.94,scattered clouds
120,Arman,RU,59.7,150.1667,41.02,95,100,10.78,moderate rain
121,Ribeira Grande,PT,38.5167,-28.7,72.0,73,75,17.27,broken clouds
122,Nemuro,JP,43.3236,145.575,55.94,79,22,3.98,few clouds
123,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,86,75,6.91,broken clouds
124,Gat,IL,31.61,34.7642,85.41,22,0,12.73,clear sky
